Nr,Locus,Segregation,Phase,Classification,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
171,pPt-473433,<nnxnp>,{-0},"(nn,np)",nn,nn,nn,np,np,np,nn,np,np,nn,nn,np,np,np,np,nn,nn,nn,np,np,np,nn,np,nn,np,np,np,nn,np,nn,nn,np,np,nn,np,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,nn,nn,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,nn,np,nn,np,nn,np,np,np,nn,np,nn,np,np,np,nn,np,np,nn,nn,np,np,nn,nn,nn,np,nn,np,np,nn,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,np,np,nn,np,np,nn,nn,nn,nn,np,nn,np,nn,np,nn,nn,np,np,np,np,np,np,nn,nn,nn,nn,nn,np,np,nn,nn,np,np,np,nn,nn,np,np,nn,nn,nn,nn,np,np,nn,np,np,np,nn,nn,np,nn,nn,np,nn,np,np,np,np,np,np,np,nn,np,np,np,np,nn,np,np,nn,np,np,nn,nn,np,np,np
172,pPt-472490,<nnxnp>,{-0},"(nn,np)",nn,nn,nn,np,np,np,nn,np,np,nn,nn,np,np,np,np,nn,nn,np,np,np,np,nn,np,nn,np,np,np,nn,np,nn,nn,np,np,nn,np,nn,nn,np,nn,nn,np,nn,np,nn,nn,np,np,nn,nn,nn,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,nn,np,nn,np,nn,np,np,np,nn,np,nn,np,np,np,nn,np,np,nn,nn,np,np,nn,nn,nn,--,nn,np,np,nn,np,np,np,np,np,np,nn,nn,nn,nn,nn,nn,np,np,nn,np,np,nn,nn,nn,nn,np,nn,np,nn,np,nn,nn,np,np,np,np,np,np,nn,nn,nn,nn,np,np,np,nn,nn,np,np,np,nn,nn,np,np,nn,nn,nn,nn,np,np,nn,np,np,nn,nn,nn,np,nn,nn,np,nn,np,nn,np,np,np,np,np,nn,np,np,np,np,nn,np,np,nn,np,np,nn,nn,np,np,np
173,pPt-457784,<nnxnp>,{-0},"(nn,np)",np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,nn,np,nn,np,nn,np,np,np,np,nn,np,np,np,nn,np,nn,np,nn,np,nn,np,nn,np,np,np,nn,np,np,np,nn,np,np,nn,nn,np,np,nn,np,np,nn,nn,np,nn,nn,nn,np,np,np,np,np,np,np,np,np,nn,nn,np,nn,np,np,nn,nn,nn,np,nn,nn,nn,np,np,np,nn,nn,np,nn,np,np,np,nn,nn,nn,np,np,np,np,np,nn,nn,nn,np,nn,nn,np,nn,np,nn,np,nn,nn,np,np,np,nn,nn,np,np,nn,nn,np,np,nn,np,np,np,nn,np,nn,nn,np,np,nn,nn,nn,nn,np,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,nn,np,np,np,np,nn,nn,np,np,np,nn,nn,np,nn,nn,np,np,np,nn,nn,np,nn,np,nn,nn,nn,np,nn,np
174,stsnp_c1_13563,<nnxnp>,{-0},"(nn,np)",np,nn,np,nn,nn,np,--,nn,np,nn,nn,nn,nn,np,nn,np,nn,np,np,np,np,nn,np,np,np,nn,np,nn,np,nn,np,nn,np,nn,np,np,np,nn,np,np,np,--,--,np,nn,nn,np,np,nn,np,np,nn,nn,np,nn,nn,nn,np,np,np,np,np,np,np,--,np,nn,nn,np,nn,np,np,nn,nn,nn,np,nn,nn,nn,--,np,np,nn,nn,np,nn,np,np,np,nn,nn,nn,np,np,np,np,--,nn,nn,--,nn,nn,nn,np,nn,np,nn,np,nn,nn,np,np,np,nn,nn,np,np,nn,nn,np,np,nn,np,np,np,nn,np,nn,nn,np,np,nn,nn,nn,nn,np,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,nn,np,np,np,np,nn,nn,np,np,np,nn,nn,np,nn,nn,np,np,np,nn,nn,np,nn,np,nn,nn,nn,np,nn,np
175,stsnp_c1_13776,<nnxnp>,{-0},"(nn,np)",np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,nn,np,nn,np,np,np,np,nn,np,np,np,nn,np,nn,np,nn,np,nn,np,nn,np,np,np,nn,np,np,np,--,--,np,nn,nn,np,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,np,np,np,np,np,np,np,np,nn,nn,np,nn,nn,np,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,nn,np,nn,np,np,np,nn,nn,nn,np,np,np,np,--,nn,nn,nn,--,nn,nn,np,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,np,nn,nn,np,np,nn,np,np,np,nn,np,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,nn,nn,nn,nn,nn,--,nn,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,nn,nn,np,np,np,nn,nn,np,nn,nn,np,np,np,nn,nn,np,nn,np,nn,nn,nn,np,nn,nn
176,stsnp_c1_10985,<nnxnp>,{-0},"(nn,np)",np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,nn,np,nn,np,np,np,np,nn,np,np,np,nn,np,nn,np,nn,np,nn,np,nn,np,np,np,nn,np,np,np,--,--,np,nn,nn,np,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,np,np,np,np,np,np,np,np,nn,nn,np,nn,nn,np,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,nn,np,nn,np,np,np,nn,nn,nn,np,np,np,np,--,--,nn,--,--,nn,nn,np,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,np,nn,nn,np,np,nn,np,np,np,nn,np,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,nn,nn,np,np,np,nn,nn,np,nn,nn,--,np,np,nn,nn,np,nn,np,nn,nn,nn,np,nn,nn
177,stsnp_c1_10959,<nnxnp>,{-0},"(nn,np)",np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,nn,np,nn,np,np,np,np,nn,np,np,np,nn,np,nn,np,nn,np,nn,np,nn,np,np,np,nn,np,np,np,nn,--,np,nn,nn,np,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,np,np,np,np,np,np,np,np,nn,nn,np,nn,nn,np,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,nn,np,nn,np,np,np,nn,nn,nn,np,np,np,np,nn,--,nn,--,--,nn,nn,np,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,np,nn,nn,np,np,nn,np,np,np,nn,np,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,nn,nn,np,np,np,nn,nn,np,nn,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,np,nn,nn
178,stsnp_c1_11935,<nnxnp>,{-0},"(nn,np)",np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,np,nn,nn,np,np,np,np,nn,np,np,np,nn,np,nn,np,nn,np,nn,np,nn,np,np,np,nn,np,np,np,nn,--,np,nn,nn,np,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,np,nn,np,np,np,np,np,np,nn,nn,np,nn,nn,np,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,nn,np,nn,nn,np,nn,nn,nn,nn,np,np,np,np,nn,np,nn,--,--,nn,nn,np,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,np,nn,nn,np,np,nn,np,np,np,nn,np,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,nn,nn,np,np,np,nn,nn,np,nn,nn,--,np,np,nn,nn,np,nn,np,nn,nn,nn,np,nn,nn
179,stsnp_c1_513,<nnxnp>,{-0},"(nn,np)",np,nn,nn,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,nn,np,np,np,nn,nn,nn,np,nn,np,nn,np,nn,np,np,np,nn,np,np,nn,nn,--,np,nn,nn,np,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,np,nn,np,np,np,np,np,np,nn,nn,nn,nn,nn,np,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,nn,--,nn,nn,nn,nn,nn,np,nn,np,np,np,nn,nn,np,nn,np,np,nn,np,np,nn,nn,np,np,nn,np,np,np,nn,np,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,np,nn,nn
180,stsnp_c1_2672,<nnxnp>,{-0},"(nn,np)",np,nn,nn,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,nn,np,np,np,nn,nn,nn,np,nn,np,nn,np,nn,np,np,np,nn,np,np,nn,--,--,np,nn,nn,np,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,np,nn,np,np,np,np,np,np,nn,nn,nn,nn,nn,np,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,--,--,nn,nn,--,nn,nn,np,nn,np,np,np,nn,nn,np,nn,np,np,nn,np,np,nn,nn,np,np,nn,np,np,np,nn,np,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,np,nn,nn
181,PM0062_165,<nnxnp>,{-0},"(nn,np)",np,nn,nn,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,nn,np,np,np,nn,nn,nn,np,nn,np,nn,np,nn,np,np,np,nn,np,np,nn,np,np,np,nn,nn,np,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,np,nn,np,np,np,np,np,np,nn,nn,nn,nn,nn,np,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,np,nn,nn,nn,np,nn,nn,np,nn,np,np,np,nn,nn,np,nn,np,np,nn,np,np,nn,nn,np,np,nn,np,np,np,nn,np,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,nn,np,np,np,nn,nn,nn,np,nn,nn,nn,nn,nn,nn,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,np,nn,nn
182,pPt-473141,<nnxnp>,{-0},"(nn,np)",np,nn,nn,--,nn,np,nn,nn,np,nn,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,nn,np,np,np,nn,nn,nn,np,nn,np,nn,np,nn,np,np,np,nn,np,np,nn,np,np,np,nn,nn,np,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,np,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,nn,nn,nn,np,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,np,nn,nn,nn,np,nn,nn,np,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,nn,np,np,np,nn,np,np,np,nn,np,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,nn,np,np,np,nn,nn,--,np,nn,nn,nn,nn,nn,nn,nn,np,--,np,nn,nn,np,nn,np,nn,nn,np,np,--,--
183,pPt-471799,<nnxnp>,{-0},"(nn,np)",np,nn,nn,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,nn,np,np,np,nn,nn,nn,np,nn,np,nn,np,nn,np,np,np,nn,np,np,nn,np,np,np,nn,nn,np,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,np,nn,nn,nn,nn,nn,np,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,np,nn,nn,nn,np,nn,nn,np,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,nn,np,np,np,nn,np,np,np,nn,np,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,nn,np,np,np,nn,nn,--,np,nn,nn,nn,nn,nn,nn,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,np,nn,nn
184,PM0378_154,<nnxnp>,{-0},"(nn,np)",np,nn,nn,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,np,np,np,nn,nn,np,np,np,nn,nn,nn,np,np,np,np,np,nn,np,np,np,np,np,np,nn,np,np,np,nn,nn,np,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,np,nn,nn,nn,nn,nn,np,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,np,nn,nn,nn,np,nn,nn,np,nn,np,np,np,nn,np,np,nn,--,np,nn,np,np,nn,np,np,np,nn,np,np,np,nn,np,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,nn,np,np,np,nn,nn,nn,np,nn,nn,nn,nn,nn,nn,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,np,nn,nn
185,stsnp_c1_3157,<nnxnp>,{-0},"(nn,np)",np,nn,nn,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,nn,np,np,nn,nn,nn,nn,np,nn,np,nn,np,nn,np,nn,np,nn,np,np,nn,--,--,np,nn,nn,np,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,np,nn,nn,nn,nn,nn,np,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,--,--,nn,--,--,nn,nn,np,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,nn,np,np,np,nn,np,np,np,nn,np,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,nn,np,np,np,nn,nn,nn,np,nn,nn,nn,nn,nn,nn,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,np,nn,nn
186,pPt-470983,<nnxnp>,{-0},"(nn,np)",np,nn,nn,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,nn,np,np,nn,nn,nn,nn,np,nn,np,nn,np,nn,np,nn,np,nn,np,np,nn,np,np,np,nn,nn,np,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,np,nn,nn,nn,nn,nn,np,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,np,nn,nn,nn,np,nn,nn,np,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,nn,np,np,np,nn,np,np,np,nn,np,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,nn,np,np,np,nn,nn,nn,np,nn,nn,nn,nn,nn,nn,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,np,nn,nn
187,pPt-653377,<nnxnp>,{-0},"(nn,np)",np,nn,nn,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,nn,np,np,nn,nn,nn,nn,np,nn,np,nn,np,nn,np,nn,np,nn,np,np,nn,np,np,np,nn,nn,np,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,np,nn,nn,nn,nn,nn,np,nn,nn,--,np,nn,nn,nn,nn,nn,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,np,nn,nn,nn,np,nn,nn,np,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,nn,np,np,np,nn,np,np,np,nn,np,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,nn,np,np,np,nn,nn,nn,np,nn,nn,nn,nn,nn,nn,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,np,nn,nn
188,pPt-471145,<nnxnp>,{-0},"(nn,np)",np,nn,nn,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,nn,np,np,nn,nn,nn,nn,np,nn,np,nn,np,nn,np,nn,np,nn,np,np,nn,np,np,np,nn,nn,np,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,np,nn,nn,nn,nn,nn,np,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,np,nn,nn,nn,np,nn,nn,np,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,nn,np,np,np,nn,np,np,np,nn,np,nn,nn,nn,np,nn,nn,--,nn,np,np,nn,nn,nn,nn,nn,--,np,nn,nn,nn,nn,nn,np,np,nn,np,np,np,nn,nn,nn,np,nn,nn,nn,nn,nn,nn,nn,np,np,np,nn,nn,np,nn,--,--,nn,--,--,--,--
189,pPt-654638,<nnxnp>,{-0},"(nn,np)",np,nn,nn,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,nn,np,np,nn,nn,nn,nn,np,nn,np,nn,np,nn,np,nn,np,nn,np,np,nn,np,np,np,nn,nn,np,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,np,--,nn,nn,nn,nn,np,nn,nn,--,np,nn,nn,nn,nn,nn,np,--,np,np,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,np,nn,nn,nn,np,nn,nn,np,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,nn,np,np,np,nn,np,np,np,nn,np,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,nn,np,np,np,nn,nn,nn,np,nn,nn,nn,nn,nn,nn,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,np,nn,nn
190,stsnp_c1_3164,<nnxnp>,{-0},"(nn,np)",np,nn,nn,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,nn,np,np,nn,nn,nn,np,np,nn,np,nn,np,nn,np,nn,np,nn,np,np,nn,--,nn,np,nn,nn,np,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,np,nn,nn,nn,nn,nn,np,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,--,--,nn,--,--,nn,nn,np,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,nn,np,np,np,nn,np,np,np,nn,np,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,nn,np,np,np,nn,nn,nn,np,nn,nn,--,nn,nn,nn,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,np,nn,nn
191,PM1300_167,<nnxnp>,{-0},"(nn,np)",nn,nn,nn,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,nn,np,np,nn,nn,nn,np,np,nn,np,nn,np,nn,np,nn,np,nn,np,np,nn,np,np,np,nn,nn,np,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,nn,nn,nn,np,np,np,nn,np,nn,nn,nn,nn,nn,np,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,np,nn,nn,nn,np,nn,nn,np,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,np,nn,np,np,np,nn,np,np,nn,nn,np,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,nn,np,np,np,nn,nn,nn,np,nn,nn,nn,nn,nn,nn,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,np,nn,nn
192,stsnp_c1_7505,<nnxnp>,{-0},"(nn,np)",nn,nn,nn,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,nn,np,np,nn,nn,nn,np,np,nn,np,nn,np,nn,np,nn,np,nn,np,np,nn,--,--,np,nn,nn,np,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,nn,nn,nn,np,np,np,nn,np,nn,nn,nn,nn,nn,np,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,--,--,nn,--,np,nn,nn,np,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,np,nn,np,np,np,nn,np,np,nn,nn,np,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,nn,np,np,np,nn,nn,nn,np,nn,nn,nn,nn,nn,nn,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,np,nn,nn
193,stsnp_c1_11480,<nnxnp>,{-0},"(nn,np)",nn,nn,nn,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,np,nn,nn,nn,np,np,nn,np,nn,np,nn,np,nn,np,nn,np,np,nn,--,--,np,nn,nn,np,np,nn,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,nn,np,nn,nn,nn,nn,nn,np,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,--,--,nn,--,--,nn,nn,np,nn,nn,np,nn,nn,np,np,nn,np,np,nn,nn,np,np,np,np,np,nn,np,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,nn,np,np,nn,nn,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,np,np,nn,nn,np,nn,np,nn,np,np,np,nn,nn
194,MICRO.1442.C1_559,<nnxnp>,{-0},"(nn,np)",nn,nn,nn,nn,nn,np,nn,nn,np,nn,nn,nn,--,nn,np,nn,--,nn,np,np,nn,nn,nn,np,nn,nn,nn,--,np,nn,np,nn,np,nn,np,nn,np,nn,np,np,nn,np,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,nn,np,nn,nn,--,nn,nn,np,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,--,np,--,np,np,nn,nn,np,nn,nn,np,nn,nn,np,np,nn,np,np,nn,nn,np,np,np,np,np,nn,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,nn,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,nn,nn,nn,np,np,nn,nn,np,nn,np,nn,nn,np,np,nn,nn
195,pPt-654476,<nnxnp>,{-1},"(nn,np)",np,np,np,np,np,--,nn,np,nn,np,np,np,np,np,nn,np,np,np,nn,nn,np,nn,np,nn,np,np,np,nn,nn,np,nn,np,nn,np,nn,np,np,np,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,nn,nn,np,np,np,np,np,nn,nn,nn,np,nn,nn,np,np,np,np,nn,np,nn,np,nn,np,np,np,np,np,nn,np,nn,np,np,np,nn,np,np,np,nn,np,nn,nn,nn,nn,np,np,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,np,nn,nn,np,np,nn,nn,nn,nn,nn,np,nn,nn,np,np,np,np,np,np,np,np,np,--,np,nn,nn,np,np,np,np,np,np,nn,np,np,np,np,np,nn,nn,np,nn,nn,np,np,nn,np,nn,np,np,np,np,np,np,np,np,nn,nn,np,np,nn,np,--,--,np,--,--,--,--
196,pPt-456702,<nnxnp>,{-1},"(nn,np)",np,nn,np,nn,np,--,nn,np,nn,np,np,np,np,np,nn,np,np,np,nn,nn,np,nn,np,nn,np,np,np,nn,nn,np,nn,np,nn,np,nn,np,np,np,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,nn,nn,np,np,np,np,np,nn,nn,nn,np,nn,nn,np,np,np,np,nn,np,nn,np,nn,np,np,np,np,np,nn,np,nn,np,np,np,nn,np,np,np,nn,np,nn,nn,nn,nn,np,np,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,np,nn,nn,np,np,nn,nn,nn,np,nn,np,nn,nn,np,np,np,np,np,np,np,np,np,np,np,nn,nn,np,np,np,np,np,np,nn,np,np,np,np,np,nn,nn,np,nn,nn,np,np,nn,np,nn,np,np,np,np,np,nn,np,np,nn,nn,np,np,nn,np,nn,np,np,nn,np,np,np
197,stsnp_c1_7986,<nnxnp>,{-1},"(nn,np)",np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,np,nn,np,np,np,nn,nn,np,nn,np,nn,np,np,np,nn,nn,np,nn,np,nn,np,nn,np,np,np,nn,nn,np,--,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,nn,nn,np,np,np,np,np,nn,nn,nn,np,nn,nn,np,np,np,np,nn,np,nn,np,nn,np,np,np,np,np,nn,np,nn,np,np,np,nn,np,np,np,nn,np,nn,nn,nn,--,nn,np,np,--,np,np,nn,np,np,nn,np,np,nn,np,np,nn,nn,np,np,nn,nn,nn,np,nn,np,nn,nn,np,np,np,np,np,np,np,np,np,np,np,nn,nn,np,np,np,np,np,np,nn,np,np,np,np,np,nn,nn,np,nn,nn,np,np,nn,np,nn,np,np,np,np,np,nn,np,np,nn,nn,np,np,nn,np,nn,np,np,nn,np,np,np
198,MICRO.381.C1_1588,<nnxnp>,{-1},"(nn,np)",np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,np,nn,np,np,np,nn,nn,np,nn,np,nn,np,np,np,nn,nn,np,nn,np,nn,np,nn,np,np,np,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,nn,nn,np,np,np,nn,nn,np,np,np,np,np,nn,nn,nn,np,nn,nn,np,np,np,np,nn,np,nn,np,nn,np,np,np,np,np,nn,np,nn,np,np,np,nn,np,np,np,nn,np,nn,nn,nn,nn,nn,np,--,np,np,np,nn,np,np,nn,np,np,nn,np,np,nn,nn,np,np,nn,nn,nn,np,nn,np,nn,nn,np,np,np,np,np,np,np,np,np,np,np,nn,nn,np,np,np,np,np,np,nn,np,np,np,np,np,nn,nn,np,nn,np,np,np,nn,np,nn,np,np,np,np,np,nn,np,np,nn,nn,np,np,nn,np,nn,np,np,nn,np,np,np
